fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.65,left,1,0.758,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.55,left,1,0.56,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,left,1,0.642,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.9,right,0,0.726,,,,,,,stim/both.png,stim/incongRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,space,18.092,3,0,3,0,1,2,2,0,96,29,1,95
0.95,left,1,0.675,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
1.15,left,0,0.643,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
1.5,left,0,0.596,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.5,left,0,0.629,,,,,,,stim/upper.png,stim/incongRight.png,right,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
0.4,left,1,0.412,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
1.2,left,1,0.592,,,,,,,stim/lower.png,stim/congRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
0.45,left,0,0.364,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
0.65,left,0,0.179,,,,,,,stim/blank.png,stim/congLeft.png,right,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
0.9,right,1,0.51,,,,,,,stim/centre.png,stim/congLeft.png,right,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
0.85,left,1,0.774,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,35,1,95
1.35,left,1,0.46,,,,,,,stim/both.png,stim/congRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1.55,left,1,0.729,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,47,1,95
1.35,left,1,0.43,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
0.55,right,0,0.66,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1.1,left,0,0.46,,,,,,,stim/both.png,stim/congRight.png,right,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.45,right,0,0.462,,,,,,,stim/lower.png,stim/incongRight.png,left,180,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
0.85,right,1,0.563,,,,,,,stim/blank.png,stim/congRight.png,right,0,22222,001,2019-01-26_21h19.27.668,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
