fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.45,left,1,0.695,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,left,1,0.999,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.2,,0,,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.95,left,1,0.468,,,,,,,stim/centre.png,stim/congRight.png,left,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,space,7.719,3,0,3,0,1,2,2,0,96,14,1,95
1.05,right,0,0.436,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1.5,,0,,,,,,,,stim/lower.png,stim/incongRight.png,left,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
0.65,right,1,0.72,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
1.4,right,1,0.803,,,,,,,stim/both.png,stim/neutralRight.png,right,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,41,1,95
0.65,right,1,1.152,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.55,right,1,0.903,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
0.85,right,1,0.767,,,,,,,stim/blank.png,stim/congLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
0.6,right,1,0.768,,,,,,,stim/both.png,stim/incongLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,21,1,95
0.65,left,1,0.635,,,,,,,stim/both.png,stim/congRight.png,left,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1.3,left,1,1.068,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
1.5,left,1,0.75,,,,,,,stim/upper.png,stim/congLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
1.5,right,1,1.102,,,,,,,stim/both.png,stim/congRight.png,right,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.85,left,1,1.001,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
1,left,1,0.901,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.45,left,1,0.836,,,,,,,stim/both.png,stim/congLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
0.95,left,1,0.755,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
0.65,right,1,0.903,,,,,,,stim/both.png,stim/congLeft.png,right,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,5,1,95
1.3,left,1,0.518,,,,,,,stim/lower.png,stim/congRight.png,left,180,Ernie,001,2019-02-07_09h59.20.303,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
