fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.5,left,1,1.627,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.9,left,1,0.728,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.35,left,1,0.662,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.9,left,1,1.121,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,space,8.913,3,0,3,0,1,2,2,0,96,35,1,95
0.9,left,1,0.655,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
0.7,right,1,0.888,,,,,,,stim/both.png,stim/congRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
1.15,left,1,0.63,,,,,,,stim/centre.png,stim/congLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.4,left,1,1.422,,,,,,,stim/centre.png,stim/incongRight.png,left,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
0.45,right,1,0.988,,,,,,,stim/upper.png,stim/incongRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.05,left,1,0.721,,,,,,,stim/both.png,stim/incongLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
1.5,right,1,0.621,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
1.35,left,1,0.622,,,,,,,stim/both.png,stim/congLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
0.75,right,1,0.622,,,,,,,stim/centre.png,stim/congRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
0.5,left,1,0.623,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
0.9,left,1,0.823,,,,,,,stim/lower.png,stim/congRight.png,left,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
0.45,right,1,0.788,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
0.5,right,1,0.689,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
1.4,right,1,0.655,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.5,right,1,0.62,,,,,,,stim/both.png,stim/neutralRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,41,1,95
1.2,right,1,0.755,,,,,,,stim/blank.png,stim/incongRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
1,left,1,0.787,,,,,,,stim/lower.png,stim/incongRight.png,left,180,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
0.7,left,1,0.622,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,33,1,95
1.5,right,1,0.789,,,,,,,stim/both.png,stim/incongRight.png,right,0,GEAGAEGAG,001,2019-03-05_20h36.34.051,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
