fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.7,right,1,0.511,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
0.9,left,0,0.476,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,right,0,1.561,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
0.5,,0,,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,right,1,0.478,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
1.15,left,1,1.178,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
0.7,left,0,0.779,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
1.3,right,1,1.028,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
1.5,left,1,0.795,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
1,right,0,0.812,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,JEhu,001,2019-08-28_23h44.23.650,ANT,3.1.3,60,,,,,,,,,,,,,,
