fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.85,left,1,0.596,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.7,left,1,0.38,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.65,left,1,0.419,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.5,left,0,0.831,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,space,3.356,3,0,3,0,1,2,2,0,96,20,1,95
1.2,left,0,0.781,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
1.05,right,1,0.629,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.85,left,1,0.697,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
0.8,left,1,0.479,,,,,,,stim/lower.png,stim/congRight.png,left,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
1.4,right,1,0.713,,,,,,,stim/upper.png,stim/congRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,8,1,95
1.25,right,1,0.617,,,,,,,stim/upper.png,stim/incongRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.05,right,1,0.698,,,,,,,stim/lower.png,stim/congLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.5,right,1,0.934,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
1.15,right,1,0.698,,,,,,,stim/both.png,stim/congRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
1.35,left,1,0.765,,,,,,,stim/blank.png,stim/congRight.png,left,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.5,right,1,0.83,,,,,,,stim/centre.png,stim/incongRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,26,1,95
0.65,left,1,0.513,,,,,,,stim/both.png,stim/congRight.png,left,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1,right,1,0.415,,,,,,,stim/centre.png,stim/congRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
0.85,left,1,0.931,,,,,,,stim/blank.png,stim/incongRight.png,left,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,31,1,95
0.75,right,1,0.514,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
1,left,1,0.413,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.8,left,1,0.463,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,35,1,95
0.4,right,1,0.464,,,,,,,stim/blank.png,stim/congLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.35,right,1,0.397,,,,,,,stim/blank.png,stim/congRight.png,right,0,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
1.15,left,0,0.447,,,,,,,stim/centre.png,stim/congLeft.png,right,180,OK,001,2019-05-16_13h31.55.623,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
