fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.85,left,1,0.661,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1,left,1,0.444,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.5,left,1,0.327,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.6,right,1,0.377,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,space,3.367,3,0,3,0,1,2,2,0,96,36,1,95
1,right,0,0.477,,,,,,,stim/centre.png,stim/incongRight.png,left,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
0.55,right,0,0.858,,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
1.3,left,1,0.476,,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1.05,right,1,0.51,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
0.5,left,0,0.476,,,,,,,stim/centre.png,stim/incongRight.png,right,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,26,1,95
0.95,right,1,0.394,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.7,right,1,0.444,,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
0.5,left,1,0.459,,,,,,,stim/both.png,stim/congLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
0.7,right,0,0.36,,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,29,1,95
0.4,left,0,0.544,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.7,right,1,0.478,,,,,,,stim/both.png,stim/congRight.png,right,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.8,right,0,0.496,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
0.75,left,1,0.544,,,,,,,stim/blank.png,stim/congLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
1.05,left,1,0.995,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
1,right,1,0.476,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
0.4,left,1,0.762,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
0.75,left,1,0.459,,,,,,,stim/blank.png,stim/congRight.png,left,180,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.45,right,0,0.492,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2019-02-20_13h58.16.899,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
