fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.4,left,1,0.694,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1,left,1,0.538,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.95,left,1,0.554,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.45,right,1,0.587,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,space,2.974,3,0,3,0,1,2,2,0,96,20,1,95
1.3,left,0,0.462,,,,,,,stim/both.png,stim/incongRight.png,right,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
1.05,left,1,0.511,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
1.35,right,1,0.595,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.8,left,1,0.687,,,,,,,stim/both.png,stim/incongRight.png,left,180,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,29,1,95
0.65,right,1,0.528,,,,,,,stim/centre.png,stim/congLeft.png,right,180,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
0.8,left,1,0.539,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
0.9,right,1,0.537,,,,,,,stim/centre.png,stim/congRight.png,right,0,Samuel0,001,2019-03-17_22h53.59.928,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
