fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1,left,1,0.559,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,left,1,0.362,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.75,left,1,0.297,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.6,left,1,0.31,,,,,,,stim/centre.png,stim/congRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,space,49.64,3,0,3,0,1,2,2,0,96,14,1,95
1,left,0,0.328,,,,,,,stim/upper.png,stim/incongRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.45,left,1,0.625,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
0.75,right,1,0.492,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
1.35,right,1,0.493,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
1.35,left,1,0.426,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,33,1,95
1.05,right,1,0.444,,,,,,,stim/centre.png,stim/congLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
1.55,left,1,0.56,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
0.85,left,1,0.36,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
1.55,left,1,0.542,,,,,,,stim/lower.png,stim/incongRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
1,right,0,0.359,,,,,,,stim/both.png,stim/incongLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
0.5,left,1,0.376,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,35,1,95
1.3,right,1,0.477,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
0.65,left,0,0.313,,,,,,,stim/centre.png,stim/incongRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,26,1,95
1.15,left,1,0.363,,,,,,,stim/centre.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.45,right,1,0.441,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
0.95,right,1,0.443,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
0.5,right,1,0.478,,,,,,,stim/blank.png,stim/congLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.3,right,1,0.527,,,,,,,stim/both.png,stim/incongRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
1.05,left,1,0.51,,,,,,,stim/centre.png,stim/incongRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
1.05,left,1,0.542,,,,,,,stim/blank.png,stim/incongRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,31,1,95
0.55,right,1,0.576,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
0.95,left,1,0.41,,,,,,,stim/both.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
1.55,right,1,0.576,,,,,,,stim/blank.png,stim/incongRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
1.25,left,1,0.475,,,,,,,stim/both.png,stim/incongRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,29,1,95
0.85,right,1,0.411,,,,,,,stim/centre.png,stim/congRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
1.25,left,1,0.408,,,,,,,stim/upper.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
0.6,right,1,0.411,,,,,,,stim/lower.png,stim/congLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.55,left,1,0.411,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
1.05,right,1,0.309,,,,,,,stim/both.png,stim/congRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.85,left,1,0.291,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
0.8,left,1,0.442,,,,,,,stim/blank.png,stim/congRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
0.8,left,1,0.309,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,47,1,95
0.45,left,0,0.295,,,,,,,stim/both.png,stim/incongLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,21,1,95
1.3,right,1,0.292,,,,,,,stim/blank.png,stim/congRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
1.45,right,1,0.569,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.4,left,1,0.425,,,,,,,stim/lower.png,stim/congRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
0.95,right,1,0.426,,,,,,,stim/both.png,stim/neutralRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,41,1,95
1,left,1,0.391,,,,,,,stim/blank.png,stim/congLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
0.6,right,1,0.459,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
1.4,right,1,0.577,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.7,left,1,0.793,,,,,,,stim/both.png,stim/congRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
0.4,left,1,0.498,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
0.7,right,1,0.392,,,,,,,stim/both.png,stim/congLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,5,1,95
0.9,right,1,0.393,,,,,,,stim/upper.png,stim/congRight.png,right,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,8,1,95
0.85,right,1,0.497,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.4,left,1,0.525,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
0.4,left,1,0.559,,,,,,,stim/both.png,stim/neutralRight.png,left,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,45,1,95
0.75,right,1,0.327,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Uzumaki,001,2019-02-06_21h24.02.314,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
