fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.6,left,1,0.656,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.5,left,1,0.506,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.3,left,1,0.308,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.25,right,0,0.923,,,,,,,stim/both.png,stim/incongRight.png,left,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,space,5.049,3,0,3,0,1,2,2,0,96,29,1,95
1.25,right,1,0.75,,,,,,,stim/both.png,stim/neutralRight.png,right,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,41,1,95
0.8,right,0,0.573,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
1.5,left,1,0.934,,,,,,,stim/blank.png,stim/congRight.png,left,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.45,right,1,1.358,,,,,,,stim/both.png,stim/incongRight.png,right,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
1.45,left,1,0.574,,,,,,,stim/centre.png,stim/congLeft.png,left,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
0.4,right,1,0.824,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.8,left,1,0.607,,,,,,,stim/centre.png,stim/congRight.png,left,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,14,1,95
0.65,right,1,0.7,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
1.25,left,1,0.583,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
0.7,right,1,0.806,,,,,,,stim/blank.png,stim/incongRight.png,right,0,cs0210billybob,001,2019-02-08_17h33.57.353,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
