fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.4,left,1,0.522,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.35,left,1,0.425,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.95,left,1,0.451,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.4,left,0,0.358,,,,,,,stim/upper.png,stim/incongRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,space,0.964,3,0,3,0,1,2,2,0,96,24,1,95
0.9,left,1,0.574,,,,,,,stim/blank.png,stim/congRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.1,right,1,0.542,,,,,,,stim/both.png,stim/congRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.4,left,1,0.524,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,33,1,95
1.35,right,1,0.574,,,,,,,stim/both.png,stim/congLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,5,1,95
1.5,left,1,0.425,,,,,,,stim/lower.png,stim/congRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
0.6,left,1,0.56,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,35,1,95
0.4,right,1,0.425,,,,,,,stim/lower.png,stim/congLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
0.5,left,1,0.408,,,,,,,stim/blank.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
0.65,right,0,0.359,,,,,,,stim/blank.png,stim/incongRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,31,1,95
1.25,left,1,0.508,,,,,,,stim/both.png,stim/congRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
0.45,right,1,0.591,,,,,,,stim/upper.png,stim/congRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,8,1,95
0.7,left,1,0.74,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
1.35,right,1,0.591,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
1.1,right,1,0.742,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.9,right,1,0.542,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.8,right,1,0.59,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
0.5,right,1,0.458,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.45,right,1,0.492,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
1,right,1,0.624,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
0.4,left,1,0.723,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
0.5,left,1,0.574,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,47,1,95
0.9,left,1,0.558,,,,,,,stim/upper.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
0.6,right,1,0.642,,,,,,,stim/blank.png,stim/congRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
0.65,left,1,0.59,,,,,,,stim/both.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
0.65,right,1,0.391,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
0.75,left,1,0.59,,,,,,,stim/centre.png,stim/congLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
0.7,left,1,0.607,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
1.2,left,1,0.691,,,,,,,stim/lower.png,stim/incongRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
0.45,right,1,0.775,,,,,,,stim/both.png,stim/incongRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
0.6,left,1,0.708,,,,,,,stim/both.png,stim/incongRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,29,1,95
0.5,left,1,0.508,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
1.1,left,1,0.757,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
0.9,left,1,0.493,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.8,right,1,0.874,,,,,,,stim/blank.png,stim/congLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
0.75,right,1,0.742,,,,,,,stim/blank.png,stim/incongRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
1.4,left,1,0.656,,,,,,,stim/centre.png,stim/congRight.png,left,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,14,1,95
0.65,right,1,0.573,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
0.95,right,1,0.775,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,cs210_Birckbichler,001,2019-02-07_19h12.45.373,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
