fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.8,left,1,1.514,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.3,left,1,0.747,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.25,left,1,0.882,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,right,1,1.364,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,space,7.734,3,0,3,0,1,2,2,0,96,22,1,95
0.75,right,1,1.264,,,,,,,stim/both.png,stim/incongLeft.png,right,180,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,21,1,95
0.7,left,1,0.812,,,,,,,stim/both.png,stim/incongLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
1.55,right,1,0.78,,,,,,,stim/lower.png,stim/congLeft.png,right,180,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
0.7,left,1,0.729,,,,,,,stim/blank.png,stim/congRight.png,left,180,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
0.55,left,1,0.713,,,,,,,stim/centre.png,stim/congLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.05,left,1,0.779,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,cs210_Destiny,001,2019-02-05_18h00.35.276,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
