fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.5,left,1,0.977,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.8,left,1,0.53,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.35,left,1,0.562,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.5,left,1,1.111,,,,,,,stim/centre.png,stim/incongRight.png,left,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,space,15.283,3,0,3,0,1,2,2,0,96,30,1,95
1.2,,0,,,,,,,,stim/upper.png,stim/congLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
1.5,left,1,0.845,,,,,,,stim/both.png,stim/incongLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
0.8,right,1,1.164,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
1.5,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
0.65,left,1,0.714,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1.35,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,46,1,95
0.8,right,1,0.945,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
0.4,right,1,0.83,,,,,,,stim/upper.png,stim/congRight.png,right,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,8,1,95
1.1,left,0,0.728,,,,,,,stim/both.png,stim/incongLeft.png,right,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,21,1,95
1.3,left,1,0.932,,,,,,,stim/centre.png,stim/congLeft.png,left,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.4,right,1,0.847,,,,,,,stim/blank.png,stim/congRight.png,right,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
0.4,right,1,0.894,,,,,,,stim/upper.png,stim/incongRight.png,right,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
0.7,left,0,0.612,,,,,,,stim/lower.png,stim/congLeft.png,right,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.05,,0,,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
1.1,,0,,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
1.2,,0,,,,,,,,stim/blank.png,stim/incongRight.png,left,180,hap,001,2019-01-29_14h00.58.334,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,31,1,95
