fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.65,left,1,1.383,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.5,left,1,0.974,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.4,left,1,0.86,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,left,1,0.817,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,space,12.217,3,0,3,0,1,2,2,0,96,34,1,95
1.05,right,1,0.822,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.45,right,1,1.028,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.5,right,1,0.859,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
1.45,right,1,0.658,,,,,,,stim/lower.png,stim/congLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.15,right,1,0.542,,,,,,,stim/both.png,stim/congLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,5,1,95
0.7,left,1,0.56,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
0.75,right,1,0.542,,,,,,,stim/blank.png,stim/congLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.1,left,1,0.774,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,33,1,95
0.55,left,1,0.69,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1.25,right,1,0.541,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
0.45,right,1,0.788,,,,,,,stim/blank.png,stim/congRight.png,right,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
1.3,left,1,0.49,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.45,left,1,0.891,,,,,,,stim/both.png,stim/congRight.png,left,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1.1,left,1,0.808,,,,,,,stim/centre.png,stim/congLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.1,left,1,0.64,,,,,,,stim/both.png,stim/incongLeft.png,left,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
0.75,right,1,0.653,,,,,,,stim/blank.png,stim/incongRight.png,right,0,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
0.5,right,1,0.874,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.4,,0,,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,hz,001,2019-01-29_12h19.51.865,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
