fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.4,right,1,1.529999971,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.8,left,1,0.414000034,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.55,right,0,0.546999931,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
1.45,left,1,0.744999886,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.8,right,1,0.713999987,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,left,1,0.58100009,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.9,left,1,0.595000029,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
1.1,left,0,0.480999947,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
1.35,left,1,1.013999939,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,right,1,0.796999931,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,right,1,0.647000074,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
1.3,right,1,0.714999914,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.4,right,1,0.544000149,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
1.15,left,1,0.680999994,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,right,1,0.582000017,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,j,001,2019-12-18_12h23.37.859,ANT,3.1.3,60,,,,,,,,,,,,,,
