fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.3,left,1,0.63,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.3,left,1,0.442,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.9,left,1,0.345,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.8,left,1,0.694,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,space,11.022,3,0,3,0,1,2,2,0,96,35,1,95
0.5,left,1,0.526,,,,,,,stim/both.png,stim/neutralRight.png,left,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,45,1,95
1.2,left,1,0.475,,,,,,,stim/lower.png,stim/congRight.png,left,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
1.45,left,0,0.427,,,,,,,stim/blank.png,stim/incongRight.png,right,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
0.55,right,1,0.561,,,,,,,stim/centre.png,stim/congLeft.png,right,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
1.05,right,1,0.444,,,,,,,stim/both.png,stim/congRight.png,right,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.7,right,1,0.494,,,,,,,stim/blank.png,stim/congLeft.png,right,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.3,left,0,0.395,,,,,,,stim/both.png,stim/incongRight.png,right,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
0.75,left,1,0.777,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,47,1,95
0.4,left,1,0.593,,,,,,,stim/both.png,stim/congRight.png,left,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
1.1,left,0,0.993,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
0.65,right,0,0.828,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
1.1,right,1,0.728,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
1.45,left,1,0.497,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,kotokot,001,2019-02-20_15h09.12.714,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
