fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.3,left,1,0.76,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.3,left,1,0.496,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.4,left,1,0.429,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.4,right,1,0.478,,,,,,,stim/blank.png,stim/congLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,space,7.257,3,0,3,0,1,2,2,0,96,7,1,95
1.1,right,1,0.661,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
1.1,left,0,0.462,,,,,,,stim/both.png,stim/incongRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,25,1,95
1.35,right,1,0.411,,,,,,,stim/both.png,stim/congRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
1.1,right,1,0.593,,,,,,,stim/centre.png,stim/incongRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,26,1,95
0.85,right,1,0.695,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
1.55,left,1,0.612,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,19,1,95
0.9,left,1,0.544,,,,,,,stim/blank.png,stim/congRight.png,left,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
0.4,right,1,0.444,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
1.45,left,1,0.494,,,,,,,stim/both.png,stim/congRight.png,left,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
0.85,right,0,0.412,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
0.95,right,1,0.428,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,40,1,95
0.85,right,1,0.428,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
1.15,left,1,0.71,,,,,,,stim/lower.png,stim/incongRight.png,left,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,28,1,95
1.2,right,1,0.595,,,,,,,stim/lower.png,stim/congLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
0.75,right,1,0.577,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.55,right,1,0.412,,,,,,,stim/centre.png,stim/congLeft.png,right,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
1.3,left,1,0.563,,,,,,,stim/centre.png,stim/incongRight.png,left,180,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
1.55,left,1,0.496,,,,,,,stim/blank.png,stim/congLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
1.05,right,1,0.494,,,,,,,stim/upper.png,stim/congRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,8,1,95
0.8,right,1,0.578,,,,,,,stim/upper.png,stim/incongRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
0.55,right,1,0.427,,,,,,,stim/centre.png,stim/congRight.png,right,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
1,left,1,0.511,,,,,,,stim/both.png,stim/incongLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
0.7,left,1,0.465,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,32,1,95
1.1,left,1,0.444,,,,,,,stim/upper.png,stim/congLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
0.4,left,1,0.462,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,lan,001,2019-06-14_15h14.55.946,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
