fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.8,right,1,0.558,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
0.95,left,1,0.424,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,left,1,0.526,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
0.55,right,1,0.413,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
1.05,left,0,0.344,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
1.5,right,1,0.576,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
1.3,left,1,0.493,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
1.1,left,1,0.46,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,left,1,0.513,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
0.7,left,1,0.48,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,plop,001,2019-07-17_10h00.40.891,ANT,3.1.3,60,,,,,,,,,,,,,,
