fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.9,left,1,1.282,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.4,left,1,0.576,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.55,left,1,0.66,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,,,,,,,,,,,,
1.35,left,1,0.479,,,,,,,stim/upper.png,stim/congLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,space,5.346,3,0,3,0,1,2,2,0,96,0,1,95
0.7,right,1,0.71,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
1.05,left,0,0.614,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
0.6,right,1,0.71,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
0.95,right,0,0.477,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,18,1,95
0.5,right,1,0.693,,,,,,,stim/blank.png,stim/congLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.25,right,1,0.696,,,,,,,stim/lower.png,stim/congLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.55,left,1,0.643,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
1.45,right,1,0.714,,,,,,,stim/blank.png,stim/congRight.png,right,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,11,1,95
1.1,right,1,0.83,,,,,,,stim/both.png,stim/incongLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,21,1,95
1.1,right,1,0.494,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,36,1,95
1.35,left,1,0.63,,,,,,,stim/both.png,stim/neutralRight.png,left,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,45,1,95
0.85,right,1,0.643,,,,,,,stim/centre.png,stim/congLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
1.05,right,1,0.576,,,,,,,stim/both.png,stim/congRight.png,right,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
1.15,left,0,0.827,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.45,right,0,0.665,,,,,,,stim/centre.png,stim/incongRight.png,left,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
1.55,left,1,0.577,,,,,,,stim/lower.png,stim/congRight.png,left,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
1.4,left,1,0.693,,,,,,,stim/blank.png,stim/congLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
1,left,1,0.763,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
0.6,left,1,0.677,,,,,,,stim/blank.png,stim/congRight.png,left,180,popcorn,001,2019-05-21_13h56.39.035,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,15,1,95
