fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.65,left,1,1.312999964,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.15,right,1,0.646999836,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.4,right,1,0.624000072,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.85,,0,,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.75,left,1,0.648000002,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.4,right,1,0.546999931,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.15,left,1,0.613999844,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.25,left,1,0.614000082,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.9,right,1,0.697000027,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,left,1,0.781000137,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.55,right,1,0.514999866,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.5,right,1,0.563999891,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.75,left,1,0.648000002,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.55,right,1,0.328999996,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.3,right,1,0.447000027,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.1,left,0,0.463999987,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,right,0,0.414000034,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.45,left,1,0.480000019,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.1,right,1,0.680000067,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.7,left,1,0.597000122,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.05,right,1,0.429000139,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
1.45,left,0,0.414999962,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.7,left,1,0.546999931,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.45,right,0,0.447000027,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,,,,,,,,,,,,
0.55,left,1,0.430999994,,,,,,,stim/lower.png,stim/congRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,space,18.67200017,3,0,3,0,1,2,2,0,96,12,1,95
1.05,left,1,0.463000059,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,32,1,95
1.55,right,0,0.414999962,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1,left,0,0.514999866,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,43,1,95
1.55,left,1,0.529999971,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,44,1,95
1.1,right,1,0.498000145,,,,,,,stim/blank.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,11,1,95
0.75,left,1,0.564999819,,,,,,,stim/blank.png,stim/incongRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,31,1,95
0.75,right,1,0.497999907,,,,,,,stim/upper.png,stim/incongRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,24,1,95
0.65,right,1,0.514000177,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.9,left,1,0.480999947,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,34,1,95
0.95,left,1,0.447000027,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,46,1,95
0.7,right,1,0.482000113,,,,,,,stim/upper.png,stim/congRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,8,1,95
1.25,left,1,0.596000195,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,18,1,95
1.25,left,1,0.496000051,,,,,,,stim/both.png,stim/neutralRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,45,1,95
1.2,left,0,0.447999954,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,20,1,95
1.2,right,0,0.478999853,,,,,,,stim/both.png,stim/incongRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,29,1,95
0.6,left,1,0.596999884,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,47,1,95
1.2,right,1,0.59800005,,,,,,,stim/both.png,stim/congLeft.png,right,180,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,5,1,95
0.4,right,1,0.696000099,,,,,,,stim/both.png,stim/incongRight.png,right,0,qiu,001,2020-01-17_15h11.58.903,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,25,1,95
