fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.1,left,1,0.537,1,0,3,2,1,2,stim/centre.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.9,left,1,0.369,1,0,3,0,1,2,stim/upper.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.6,left,1,0.405,1,0,3,1,1,2,stim/both.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,,,,,,,,,,,,
0.7,left,1,0.57,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,space,6.931,3,0,3,0,1,2,2,0,96,35,1,95
1.4,left,1,0.671,,,,,,,stim/centre.png,stim/incongRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,30,1,95
0.95,right,1,0.536,,,,,,,stim/lower.png,stim/congLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.5,left,1,0.438,,,,,,,stim/both.png,stim/congRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,13,1,95
0.45,left,1,0.488,,,,,,,stim/blank.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,3,1,95
0.55,left,1,0.621,,,,,,,stim/blank.png,stim/incongRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,31,1,95
1.2,right,1,0.555,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.75,left,1,0.37,,,,,,,stim/both.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,1,1,95
1.1,right,1,0.621,,,,,,,stim/blank.png,stim/congLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,7,1,95
0.6,right,1,0.519,,,,,,,stim/centre.png,stim/congRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,10,1,95
1.55,left,1,0.421,,,,,,,stim/centre.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,2,1,95
0.95,left,0,0.37,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,23,1,95
0.95,right,1,0.655,,,,,,,stim/blank.png,stim/incongRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,27,1,95
0.75,right,1,0.572,,,,,,,stim/both.png,stim/congRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.4,right,1,0.639,,,,,,,stim/centre.png,stim/incongRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,26,1,95
1.25,left,1,0.469,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,47,1,95
1.05,right,1,0.387,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,42,1,95
0.9,left,1,0.505,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,44,1,95
0.8,left,1,0.621,,,,,,,stim/both.png,stim/incongRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,29,1,95
1.2,left,1,0.488,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,34,1,95
1.05,left,1,0.438,,,,,,,stim/lower.png,stim/congRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,12,1,95
1.5,right,0,0.472,,,,,,,stim/both.png,stim/incongLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,17,1,95
1.05,left,1,0.455,,,,,,,stim/both.png,stim/neutralRight.png,left,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,45,1,95
0.45,right,1,0.601,,,,,,,stim/centre.png,stim/congLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,6,1,95
0.7,right,1,0.622,,,,,,,stim/upper.png,stim/incongRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.45,left,1,0.522,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,33,1,95
0.6,right,1,0.589,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,39,1,95
0.7,right,1,0.538,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.6,left,1,0.502,,,,,,,stim/upper.png,stim/congLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,0,1,95
1.15,right,1,0.538,,,,,,,stim/both.png,stim/congLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,5,1,95
1,right,1,0.604,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,37,1,95
0.4,right,1,0.47,,,,,,,stim/both.png,stim/neutralRight.png,right,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,41,1,95
0.9,left,0,0.503,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,20,1,95
1.1,left,1,0.52,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,testtest2,001,2019-02-04_20h52.43.077,ANT,3.0.0b12,60,,,3,0,3,0,1,2,2,0,96,16,1,95
